,Player,Agents,# Rnd,ACS,K:D,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
0,"heat
VK",,131,280.3,1.38,170.8,0.96,0.13,0.23,0.10,28%,13%,1/8,26,126,91,17,30,13
1,"yay
NV",,248,280.2,1.44,176.9,0.98,0.15,0.22,0.12,26%,23%,5/22,31,244,170,37,55,29
2,"TenZ
SEN",(+1),243,269.5,1.38,179.1,0.94,0.19,0.15,0.14,21%,13%,2/15,32,229,166,47,36,33
3,"cNed
ACE",,213,267.8,1.36,167.6,0.96,0.17,0.16,0.10,21%,11%,3/27,24,205,151,37,35,22
4,"nAts
GMB",,306,265.9,1.40,170.8,0.90,0.30,0.12,0.10,31%,26%,6/23,30,276,197,93,37,32
5,"keloqz
G2",(+1),275,257.2,1.32,163.1,0.95,0.10,0.17,0.11,30%,15%,4/27,26,261,197,28,46,29
6,"Laz
ZETA",(+1),92,248.6,1.23,159.9,0.88,0.20,0.13,0.09,34%,,0/17,20,81,66,18,12,8
7,"Asuna
100T",,208,247.4,1.06,156.5,0.82,0.19,0.22,0.15,24%,11%,1/9,23,171,162,39,46,31
8,"murizzz
VK",(+1),131,239.0,1.08,157.7,0.79,0.23,0.18,0.15,21%,17%,1/6,29,103,95,30,23,20
9,"BuZz
VS",,144,238.1,1.23,150.9,0.86,0.11,0.24,0.17,20%,,0/6,27,124,101,16,34,24
10,"nukkye
G2",(+2),275,232.8,1.23,165.3,0.79,0.29,0.11,0.12,19%,19%,5/26,22,218,177,81,31,33
11,"Bunny
F4Q",,190,228.8,0.99,163.4,0.76,0.17,0.21,0.14,15%,10%,2/21,26,144,146,33,39,27
12,"f0rsakeN
PRX",,110,227.6,0.98,142.6,0.80,0.10,0.24,0.25,31%,,0/2,27,88,90,11,26,27
13,"keznit
KRÜ",(+1),186,227.0,1.04,154.0,0.83,0.24,0.11,0.10,25%,19%,3/16,31,154,148,45,21,18
14,"zeek
ACE",(+2),213,225.7,1.12,148.3,0.77,0.25,0.13,0.09,17%,23%,5/22,27,165,147,54,28,20
15,"Chronicle
GMB",(+1),306,222.9,1.35,153.0,0.80,0.37,0.07,0.05,24%,12%,3/25,29,245,182,112,22,15
16,"Izzy
SMB",,166,221.9,1.12,140.5,0.80,0.14,0.19,0.13,19%,21%,4/19,26,133,119,24,31,22
17,"d3ffo
GMB",,306,220.4,1.25,132.1,0.79,0.13,0.18,0.13,26%,19%,5/27,25,241,193,40,55,41
18,"SicK
SEN",(+1),243,220.3,1.06,153.3,0.75,0.30,0.15,0.13,22%,5%,1/21,27,183,173,73,37,31
19,"crashies
NV",,248,218.2,1.11,159.2,0.75,0.33,0.05,0.06,25%,20%,7/35,26,187,168,81,13,15
20,"Medusa
CR",,64,217.3,1.04,130.5,0.78,0.16,0.16,0.16,23%,,0/6,18,50,48,10,10,10
21,"Ethan
100T",,208,212.7,1.07,137.5,0.76,0.24,0.11,0.13,25%,14%,1/7,21,159,148,50,23,27
22,"sheydos
GMB",,306,212.5,1.30,137.4,0.78,0.19,0.10,0.04,26%,19%,6/32,26,240,185,57,31,13
23,"ShahZaM
SEN",,243,212.3,1.11,142.7,0.74,0.23,0.09,0.08,21%,15%,4/27,26,179,161,56,23,20
24,"russ
SMB",,166,212.1,1.00,147.1,0.71,0.28,0.07,0.05,28%,6%,1/17,20,118,118,46,11,8
25,"Bazzi
CR",,54,211.3,0.79,141.8,0.63,0.20,0.15,0.06,23%,,0/10,19,34,43,11,8,3
26,"takej
ZETA",(+1),92,209.6,1.04,149.6,0.76,0.25,0.09,0.10,29%,,0/8,22,70,67,23,8,9
27,"NagZ
KRÜ",,186,209.2,0.95,136.9,0.68,0.17,0.21,0.11,20%,9%,2/22,20,127,134,32,39,21
